nama_customer,simbol,bidang_perusahaan,pendapatan_tahunan,jumlah_karyawan,usia_perusahaan
Urban Jakarta,o,Developer,1200,300,10
Triyasa Propertindo,o,Developer,2100,355,7
Synthesis,o,Developer,1750,405,5
BTPN,o,Developer,3050,280,40
Supermall,x,Mall,4120,250,20
Jakarta Intiland,o,Developer,1100,110,15
Windas,s,Building Management,5004,400,17
Gamaland,s,Building Management,3800,250,18
FX,x,Mall,2050,150,5
Icon,o,Developer,3400,305,4
Alfaland,x,Mall,4100,515,12
Danamon,s,Building Management,1850,280,34
Energy,s,Building Management,1500,175,10
Jantra,o,Developer,2455,100,13
Pakubuwono,x,Mall,2150,265,12
Ramayana,x,Mall,7055,370,32
Waskita,s,Building Management,3580,290,27
Taspen,o,Developer,877,315,22
Wiyasa,x,Mall,3295,197,5
Persada,x,Mall,2143,209,24
Pastika,x,Mall,1251,119,7
Nirmala,o,Developer,1628,330,12
Madara,o,Developer,3681,103,18
Swarna,x,Mall,3378,235,13
Green Pontianak,s,Building Management,2385,63,20
Holding,x,Mall,1604,137,11
Basura,s,Building Management,3392,71,14
Unilever,s,Building Management,2481,334,9
Surya Citra,x,Mall,1129,287,17
Pakuwon,o,Developer,3819,227,19
Ace Hardware,x,Mall,3016,286,17
Telkom Indonesia,o,Developer,3209,294,9
Kentjana,s,Building Management,1306,121,11
Bumi Serpong,o,Developer,1254,244,12
Sumarecon,o,Developer,1120,298,11
Wijaya Karya,o,Developer,1732,293,14
Astra,o,Developer,1334,113,7
Alfaria Trijaya,s,Building Management,2736,74,7
Semen Indonesia,x,Mall,1270,255,8
AKR,s,Building Management,3089,308,23
Media Nusantara,x,Mall,1716,62,23
Lippo Cikarang,s,Building Management,3855,54,16
Modernland,x,Mall,3008,185,19
Cardig Aero,x,Mall,1937,89,25
Nusa Raya,o,Developer,1193,202,13
Tiphone Mobile,s,Building Management,996,166,18
Tempo Scan,o,Developer,1723,245,16
Ciputra,x,Mall,3566,166,11
Sri Rejeki,o,Developer,1049,267,17
Tiga Pilar,s,Building Management,1602,281,23
Siantar,o,Developer,2075,201,16
Metrodata,o,Developer,3659,224,10
Paradise Property,s,Building Management,2837,216,19
Citra Nusaphala,o,Developer,1567,139,7
Acset,o,Developer,2389,319,14
Mitra Pinasthika,o,Developer,2914,108,24
Clipan,x,Mall,3302,306,17
Bayu Buana,x,Mall,1657,267,15
FKS Multi,s,Building Management,1218,58,17
Wilmar,s,Building Management,2723,67,25
Batavia,o,Developer,2369,80,5
Ekadharma,s,Building Management,1792,301,13
KMI Wire,s,Building Management,2002,295,19
Gapuraprima,o,Developer,1030,348,21
Sentrawisata,s,Building Management,2408,95,9
Sekar Laut,x,Mall,1891,278,10
ABM Investama,s,Building Management,3009,162,24
Adira Dinamika,o,Developer,3597,83,24
Aneka Tambang,o,Developer,1664,180,5
OCBC,s,Building Management,1424,67,10
Branita,o,Developer,3823,105,5
Cakrawala,s,Building Management,1424,88,25
Cemerlang,x,Mall,1180,269,13
Ceria Worley,o,Developer,3430,59,24
Chiyoda,o,Developer,2003,76,24
Delta Dunia,x,Mall,3226,336,18
Dowell Anadrill,s,Building Management,2914,184,11
Excelcomindo,s,Building Management,1450,103,5
Golden Jaya,s,Building Management,1321,214,19
Gotrans interna,x,Mall,2325,313,10
Intan Anugerah,o,Developer,1602,277,14
Iris Sistem,s,Building Management,2219,200,14
Java Tobacco,x,Mall,1837,53,13
Arutmin,s,Building Management,3337,90,14
Kaltim Prima,s,Building Management,1460,94,10
Wiratama,o,Developer,2212,96,21
Widjaya,s,Building Management,1149,259,25
Wangsa,s,Building Management,1798,237,12
Tunas Baru,x,Mall,2839,230,16
Triwahana,o,Developer,2164,137,24
Trisula,s,Building Management,3619,212,14
Symrise,o,Developer,1786,164,18
Sgwicus,o,Developer,3247,103,5
Rakintam,s,Building Management,1354,102,22
Rezdamurni,s,Building Management,1850,288,14
Praquaman,o,Developer,1177,290,5
Prawarasa,x,Mall,3349,197,21
Paramita,o,Developer,3317,123,22
Newmont,s,Building Management,3899,192,17
Mitraland,o,Developer,2033,237,5
